PXYtJUh8mxDYARjkk4Kctix9H7ewDuGmNd, ['1364384.00000000', '1364384.00000000', '1364384.00000000', '1364384.00000000', '1364384.00000000', '1364384.00000000']
PUxo8xZwGYYasHGmkdQo3YnE7ZTyZuwwzK, ['401561.45407812', '405386.81407812', '409411.97407812', '413715.23407812', '418189.67407812', '421335.71407812']
PBec4kPzt68PKqbKh7g3vmF6nYBXnLMMLP, ['377895.23157996', '377895.23157996', '377895.23157996', '377895.23157996', '377895.23157996', '377895.23157996']
PW2qdYhBecu7GcrLgDkN1BQrByDbo8gvD3, ['300596.53174200', '303379.69174200', '306501.97174200', '309805.69174200', '313107.25174200', '315495.13174200']
PRgRa2suAQxsuRbbeZn1amEkYc1L8L8XTj, ['297147.55629103', '300012.79629103', '303021.67629103', '306189.31629103', '309381.25629103', '311824.21629103']
PDE42ePuMmtUF9nSPopK9moPp88HaVqjGe, ['222599.88013892', '222599.88013892', '222599.88013892', '222599.88013892', '222599.88013892', '222599.88013892']
PVx3fKcejcEravTJRJUd2PPZT3Mg2AoimC, ['230019.55527702', '220019.48512944', '215053.31179507', '215495.59387566', '215875.04447008', '216559.85521749']
PTn2RmQ6ypLdXATFw3X4uRK6cCs3wNEHvs, ['165220.01146868', '165220.01146868', '165220.01146868', '165220.01146868', '165220.01146868', '165220.01146868']
PRojJ5szajjjrfLofAkm49vwgvX3PSHwcy, ['146645.43001000', '148157.43001000', '149761.23001000', '151461.15001000', '152307.87001000', '153505.59001000']
PW174fFTTKXdv7w2H9eXBDAZMcuaBVQEgJ, ['138313.07216448', '138313.07216448', '138313.07216448', '138313.07216448', '138313.07216448', '138313.07216448']
PXtHzPDvwKHWY4W2VRXJmP2BUpb3sV27FG, ['130549.53535578', '131785.05535578', '133069.17535578', '134412.69535578', '135802.65535578', '136781.67535578']
PRByfbwnQYSVSyXUEdWc7HS7nPAoyrLD1g, ['126645.02994080', '126645.02994080', '126645.02994080', '126645.02994080', '126645.02994080', '126645.02994080']
PMwVdTSDbcKPpr2EGS9V1nE16Z8xoATV5s, ['121548.40273372', '122130.52273372', '123028.54273372', '124136.62273372', '124258.66273372', '124258.66273372']
PBUpQpGWsvbEas5LnXLps5zPqZL6XG5ktU, ['95422.13813647', '116292.81101553', '170350.37483911', '160861.61239243', '2116.23000000', '178298.36848465']
PTnFPvs5fJXoPTrjGW7UmWtZEH9uVFtekF, ['116591.82327799', '116591.82327799', '116591.82327799', '116591.82327799', '116591.82327799', '116591.82327799']
P8be8vFWorqvFLQHBrRJrEoYinJKhtabmd, ['111710.51689174', '111710.51689174', '111710.51689174', '111710.51689174', '111710.51689174', '111710.51689174']
PQsF7TGgmQeLWtr71YCkBAoGd5a6UvqCoS, ['100020.00000000', '100020.00000000', '100020.00000000', '100020.00000000', '100020.00000000', '100020.00000000']
PBDmVoijEAdStsTwgHtVs9vi16E5VjZWtz, ['100010.00000000', '100010.00000000', '100010.00000000', '100010.00000000', '100010.00000000', '100010.00000000']
PArysYtN6tpudfGHmyNg6USUytwsCqTsrv, ['100010.00000000', '100010.00000000', '100010.00000000', '100010.00000000', '100010.00000000', '100010.00000000']
PWLWGVxG3ZjMpUrXcte2XKDWAq2Nx3xon7, ['100010.00000000', '100010.00000000', '100010.00000000', '100010.00000000', '100010.00000000', '100010.00000000']
PSovZMUKNmSNXNAYibHCwYXrBbF8fKuzDa, ['100010.00000000', '100010.00000000', '100010.00000000', '100010.00000000', '100010.00000000', '100010.00000000']
PNyYJ8mz4oLtQXMvxJ2vrNF6GAMhv7saAn, ['100010.00000000', '100010.00000000', '100010.00000000', '100010.00000000', '100010.00000000', '100010.00000000']
PHLAvNS7e3svVAfAkjg3YPDaTJXPipqqAK, ['98001.08000701', '98001.08000701', '98001.08000701', '98001.08000701', '98001.08000701', '98001.08000701']
PAuquXRpSjvCYWyA83Fm5Nme7Hxrfb4AaB, ['95878.90412845', '95878.90412845', '95878.90412845', '95878.90412845', '95878.90412845', '95878.90412845']
PRfoY8kvU7FX3DU9n7PB5sgMa6CBcwGtPa, ['110781.03040458', '111653.67040458', '111828.63040458', '99352.28153802', '70106.26760707', '68819.10711253']
PAs9UkKCevHsRrQPsmzvARtcyecgxyxRMd, ['93600.00000000', '93600.00000000', '93600.00000000', '93600.00000000', '93600.00000000', '93600.00000000']
PHzfDovgxHuGdacG6Ud8v3V85Bqm1NmFR4, ['90537.00529038', '90537.00529038', '90537.00529038', '90537.00529038', '90537.00529038', '90537.00529038']
PRq3dXbU6qod9ybubTDfzts2Pvcm1TfiZ7, ['87992.48372046', '87992.48372046', '87992.48372046', '87992.48372046', '87992.48372046', '87992.48372046']
PSYAKZWuAmJV7K5VVUZXoC8V1ALFS8qG6m, ['87836.98933547', '87836.98933547', '87836.98933547', '87836.98933547', '87836.98933547', '87836.98933547']
PDhV8hNq5XMB7vb66LkhBp5iiuXVazdUeZ, ['82372.17752165', '82372.17752165', '82372.17752165', '82372.17752165', '82372.17752165', '82372.17752165']
PED9RJixMYYN9a1CQhAbhCXi2dwTSWi26F, ['79262.72705299', '80047.88705299', '80830.88705299', '81620.36705299', '82388.24705299', '83072.96705299']
PVrG3cwzTyK322TJG4SceVA3xUuTw1hqi4, ['77000.00000000', '77000.00000000', '77000.00000000', '77000.00000000', '77000.00000000', '77000.00000000']
PEgJm8hWvbM3xsTdVJDJHm6WR6agp5Xx1X, ['75002.16000000', '75002.16000000', '75002.16000000', '75002.16000000', '75002.16000000', '75002.16000000']
PGvy1qqkWFD97t6v3fdsgjSsCo78LPAs2L, ['70012.38700000', '70012.38700000', '70012.38700000', '70012.38700000', '70012.38700000', '70012.38700000']
PNfxWogCpcshZ9RigavkHZPxPzRQCmDmff, ['72170.07012598', '72759.75012598', '72873.15012598', '71935.39828229', '63717.09740086', '62335.03724626']
PQKjjXUUA9A7jsQNwyq72pqAJjWRzzbVf2, ['63680.47327169', '64469.95327169', '65160.07327169', '65934.97327169', '66828.67327169', '67325.47327169']
PXUUHeX8jMiGRtxFrea7k268bNio1NkBNG, ['62505.72000000', '62505.72000000', '62505.72000000', '62505.72000000', '62505.72000000', '62505.72000000']
P9o62ihUqhYEYkYu6SAeuFYPBEcJcX4Pbh, ['74347.15405823', '74890.39405823', '73417.15366124', '65589.56869582', '41207.98459620', '39800.41585491']
PRgtiCnHnxcNVfRbGttX9EfNJpuZcTodY7, ['144192.42109125', '125806.31021000', '82732.76609688', '6177.12296855', '0.00000000', '0.00000000']
PS5UYiQRmTVSxJZbMEYUMRo7mUEuBkKSAy, ['58851.74957927', '58899.26957927', '58948.94957927', '58975.94957927', '58995.38957927', '59009.42957927']
PBX6eKsT9yMbLY9VKwrKw2q98whRM3TrSR, ['60147.74750905', '57785.12750905', '58381.28750905', '58851.08750905', '59041.16750905', '59218.28750905']
PMQAwmXtinwpuEdWfvah7mgCDdgChy4hzM, ['57078.40623639', '57078.40623639', '57078.40623639', '57078.40623639', '57078.40623639', '57078.40623639']
PHB7NbhZp5so1Pz8mK7sSqyqvHSj41g9fW, ['56087.56583983', '56087.56583983', '56087.56583983', '56087.56583983', '56087.56583983', '56087.56583983']
PWXEEeFE7Zsj1fhCY4HVZW9BwkQ4PdYGsm, ['54283.70244689', '54283.70244689', '54283.70244689', '54283.70244689', '54283.70244689', '54283.70244689']
PFcoRYwzHYiFg2YtJZ8VvLxmh4GYWyS25c, ['51046.43984130', '52291.43984130', '54781.43984130', '54781.43984130', '54781.43984130', '54781.43984130']
PXcXazdogX92xtqvBFHm1gauBLML2HBTQj, ['60993.00000000', '60993.00000000', '60993.00000000', '60993.00000000', '32231.00000000', '38812.00000000']
PMWARNuEQnaGUem6d4syih63acjsCVDkkv, ['51081.55513164', '51081.55513164', '51081.55513164', '51081.55513164', '51081.55513164', '51081.55513164']
PUy6EMxdiTKRLYFg1fg35RpHt2T72YJe4V, ['51073.16290706', '51073.16290706', '51073.16290706', '51073.16290706', '51073.16290706', '51073.16290706']
PSMkHB7BzBBQ8X8BXUdrxEJwLpcVQwZPvt, ['49374.17551216', '49374.17551216', '49374.17551216', '49374.17551216', '49374.17551216', '49374.17551216']
PAcgnqwHNLEUZ9Vn1AFzW5C6RLQEnJiyyx, ['51067.08519713', '50811.26877989', '50908.46877989', '49847.34554230', '45939.31374623', '45268.57922038']
PVSZnqhckDweLUekAk2AftNhev6VuetB6G, ['48914.09938390', '48914.09938390', '48914.09938390', '48914.09938390', '48914.09938390', '48914.09938390']
PQYyhpqJ5Szb56B9PTdWESJFE95LTNPP9i, ['47875.64580161', '48323.84580161', '48768.80580161', '49145.72580161', '49529.12580161', '49833.68580161']
PCHWTE3mpt8HwG8rNEnnaFvcrS9Qku47dV, ['47895.53991748', '47895.53991748', '47895.53991748', '47895.53991748', '47895.53991748', '47895.53991748']
PMFLNgaPbpMMjgAqsvVPR65K3fgug7HwNX, ['46490.16600034', '46979.40600034', '47595.00600034', '48170.64600034', '48762.48600034', '49236.60600034']
PAg3YNQhucLBxc6aLhivrmPeqRVvQKypRg, ['47587.05663098', '47587.05663098', '47587.05663098', '47587.05663098', '47587.05663098', '47587.05663098']
PEmU4Rw46wLbMYUdP3LHPWX8tYsZa8cEEY, ['45065.48072284', '45491.00072284', '45926.24072284', '46153.04072284', '46446.80072284', '46718.96072284']
PEp2gT5JuKZbsgdkkFbDtAJdeyKAr9oHy5, ['101838.57501253', '85816.06580360', '49653.12192404', '37175.84152645', '0.00000000', '0.00000000']
PXseCjPsQrcT5Ynpp2btsoXien9PMhRJZr, ['43299.12304797', '43299.12304797', '43299.12304797', '43299.12304797', '43299.12304797', '43299.12304797']
PCG3Mfko3tRkQDWXKXfsTqierVhNPJHuF8, ['41307.70255298', '41307.70255298', '41307.70255298', '41307.70255298', '41307.70255298', '41307.70255298']
PXteanHAqME9ikxjGMNzE3jYuv6GNjeMzG, ['44705.74200000', '40697.43200000', '40191.92200000', '40253.48200000', '40574.24200000', '39930.48200000']
PABkeCo27DA4on8D68St9ZfinMtaLYTqXJ, ['40200.29725216', '40522.13725216', '40878.53725216', '41071.85725216', '41183.63725216', '41189.03725216']
PD6fKhn7obfkEQwWPdhr6yA79r9wGD856d, ['65726.06894410', '66239.06894410', '64427.54273504', '46487.24672028', '0.00000000', '0.00000000']
PXSNXd8KN47DVHX87toHtKok3DzjJfCtZg, ['40450.00000000', '40450.00000000', '40450.00000000', '40450.00000000', '40450.00000000', '40450.00000000']
PQHV9wPPiGkZa2LfW4HSNdZD34AwTD5VLT, ['40255.63112944', '40255.63112944', '40255.63112944', '40255.63112944', '40255.63112944', '40255.63112944']
PPE74LCiDnNV2tyEPQJPqop8o5v3nf9Vqw, ['40088.37386514', '40088.37386514', '40088.37386514', '40088.37386514', '40088.37386514', '40088.37386514']
PAnvaN3huWFy5GnMBib1HXtM9joW1D5siA, ['69868.04000000', '69913.40000000', '24814.58000000', '24830.78000000', '24838.34000000', '24844.82000000']
PGGREy4T2QGwvEp2y4ZDgkCUwfYU2dsyDK, ['38999.99997750', '38999.99997750', '38999.99997750', '38999.99997750', '38999.99997750', '38999.99997750']
PWHV4ZK2m6v5iFfTXM3gkv3JhZpPwRkjNt, ['37493.43094325', '37777.47094325', '37812.03094325', '38164.11094325', '38363.91094325', '38363.91094325']
PFmVDxQhq3UuhRduYvisMGUGA3PyMDPYYq, ['37925.38994080', '37925.38994080', '37925.38994080', '37925.38994080', '37925.38994080', '37925.38994080']
